target_ts_nanos,game_latency_ms,composite_latency_ms,encode_latency_ms,decode_latency_ms,network_latency_ms,decoder_queue_latency_ms,rendering_latency_ms,vsync_queue_latency_ms,total_MTP_latency_ms,enconded_frame_size_bytes,server_framerate_fps,client_framerate_fps,sending_bitrate_mbps,recving_bitrate_mbps,C,C_effective,gaze_variance_magnitude,fixation_confidence,experiment_target_timestamp
9669264669172,1.6322,2.2652998,5.0748,5.233698,4.999837,14.675836,2.190313,33.65631,69.728294,2333,72.72621,71.838234,,,80,65,46.74670968783496,0.025407348,20260313_175204
9669278602382,2.3088,2.3223002,5.0786,5.734376,4.4264474,13.89469,1.69375,34.29036,69.74932,2749,76.79371,71.821686,,,80,65,49.87895487388232,0.022785293,20260313_175204
9669292518957,2.4438,3.3761,4.9881,5.16125,2.633512,15.03547,2.418438,33.514732,69.571396,1819,69.795845,71.81759,,,80,65,51.81951118255663,0.020943852,20260313_175204
9669306359951,2.1106,1.6201,5.2697,5.310209,2.981684,16.815,1.9602079,33.878525,69.94603,2694,68.84586,71.68195,,,80,65,50.21057614409285,0.01996474,20260313_175204
9669320289895,1.4151,1.7770001,5.2106,5.423646,4.108447,16.113804,2.812396,33.110886,69.97188,1609,78.774895,71.834946,,,80,65,48.75119681736551,0.019147694,20260313_175204
9669334225865,3.1743999,1.8948,5.0754004,5.04698,3.160297,15.742814,1.726979,34.098286,69.91996,1952,67.9879,71.97585,,,80,65,48.91490831902213,0.019527217,20260313_175204
9669343525777,6.9765,2.0494,5.1706,5.596355,2.292564,16.067398,2.01526,34.458805,74.62688,1337,70.46819,71.68675,,,80,65,50.407014915496745,0.019868739,20260313_175204
9669362122910,2.3242,2.1116,5.0650997,4.955886,4.357434,14.776512,2.197917,34.136105,69.92475,4706,76.478325,71.79391,,,80,65,51.47484084436469,0.020034093,20260313_175204
9669375999289,3.0718,3.2887,6.9079,5.5733857,2.7125912,12.471512,2.006094,34.049118,70.08111,3909,71.71955,71.84392,,,80,65,51.226707874357956,0.019452598,20260313_175204
9669390027055,2.2154999,1.6584,5.3515,5.216042,2.8203309,16.473232,3.045573,32.960888,69.74146,1649,71.64504,71.98347,,,80,65,50.48202018603689,0.0190493,20260313_175204
